id,time,region,flow_data
1,2016-11-01 00:00',2,143
2,2016-11-01 00:30',2,314
3,'2016-11-01 01:00',2,193
4,'2016-11-01 01:30',2,141
5,'2016-11-01 02:00',2,130
6,'2016-11-01 02:30',2,100
7,'2016-11-01 03:00',2,74
8,'2016-11-01 03:30',2,61
9,'2016-11-01 04:00',2,63
10,'2016-11-01 04:30',2,46
11,'2016-11-01 05:00',2,52
12,'2016-11-01 05:30',2,58
13,'2016-11-01 06:00',2,90
14,'2016-11-01 06:30',2,128
15,'2016-11-01 07:00',2,312
16,'2016-11-01 07:30',2,518
17,'2016-11-01 08:00',2,603
18,'2016-11-01 08:30',2,680
19,'2016-11-01 09:00',2,768
20,'2016-11-01 09:30',2,864
21,'2016-11-01 10:00',2,841
22,'2016-11-01 10:30',2,771
23,'2016-11-01 11:00',2,758
24,'2016-11-01 11:30',2,704
25,'2016-11-01 12:00',2,691
26,'2016-11-01 12:30',2,686
27,'2016-11-01 13:00',2,726
28,'2016-11-01 13:30',2,790
29,'2016-11-01 14:00',2,772
30,'2016-11-01 14:30',2,776
31,'2016-11-01 15:00',2,674
32,'2016-11-01 15:30',2,709
33,'2016-11-01 16:00',2,732
34,'2016-11-01 16:30',2,795
35,'2016-11-01 17:00',2,765
36,'2016-11-01 17:30',2,878
37,'2016-11-01 18:00',2,942
38,'2016-11-01 18:30',2,909
39,'2016-11-01 19:00',2,813
40,'2016-11-01 19:30',2,667
41,'2016-11-01 20:00',2,651
42,'2016-11-01 20:30',2,691
43,'2016-11-01 21:00',2,693
44,'2016-11-01 21:30',2,650
45,'2016-11-01 22:00',2,659
46,'2016-11-01 22:30',2,545
47,'2016-11-01 23:00',2,362
48,'2016-11-01 23:30',2,290
49,'2016-11-02 00:00',2,137
50,'2016-11-02 00:30',2,226
51,'2016-11-02 01:00',2,148
52,'2016-11-02 01:30',2,123
53,'2016-11-02 02:00',2,93
54,'2016-11-02 02:30',2,77
55,'2016-11-02 03:00',2,57
56,'2016-11-02 03:30',2,48
57,'2016-11-02 04:00',2,39
58,'2016-11-02 04:30',2,41
59,'2016-11-02 05:00',2,41
60,'2016-11-02 05:30',2,43
61,'2016-11-02 06:00',2,70
62,'2016-11-02 06:30',2,135
63,'2016-11-02 07:00',2,334
64,'2016-11-02 07:30',2,588
65,'2016-11-02 08:00',2,581
66,'2016-11-02 08:30',2,655
67,'2016-11-02 09:00',2,825
68,'2016-11-02 09:30',2,805
69,'2016-11-02 10:00',2,782
70,'2016-11-02 10:30',2,751
71,'2016-11-02 11:00',2,716
72,'2016-11-02 11:30',2,713
73,'2016-11-02 12:00',2,687
74,'2016-11-02 12:30',2,678
75,'2016-11-02 13:00',2,744
76,'2016-11-02 13:30',2,803
77,'2016-11-02 14:00',2,816
78,'2016-11-02 14:30',2,837
79,'2016-11-02 15:00',2,765
80,'2016-11-02 15:30',2,698
81,'2016-11-02 16:00',2,722
82,'2016-11-02 16:30',2,723
83,'2016-11-02 17:00',2,739
84,'2016-11-02 17:30',2,840
85,'2016-11-02 18:00',2,898
86,'2016-11-02 18:30',2,823
87,'2016-11-02 19:00',2,741
88,'2016-11-02 19:30',2,693
89,'2016-11-02 20:00',2,659
90,'2016-11-02 20:30',2,701
91,'2016-11-02 21:00',2,672
92,'2016-11-02 21:30',2,644
93,'2016-11-02 22:00',2,616
94,'2016-11-02 22:30',2,532
95,'2016-11-02 23:00',2,372
96,'2016-11-02 23:30',2,243
97,'2016-11-03 00:00',2,162
98,'2016-11-03 00:30',2,210
99,'2016-11-03 01:00',2,171
100,'2016-11-03 01:30',2,125
101,'2016-11-03 02:00',2,84
102,'2016-11-03 02:30',2,76
103,'2016-11-03 03:00',2,52
104,'2016-11-03 03:30',2,57
105,'2016-11-03 04:00',2,49
106,'2016-11-03 04:30',2,41
107,'2016-11-03 05:00',2,37
108,'2016-11-03 05:30',2,56
109,'2016-11-03 06:00',2,74
110,'2016-11-03 06:30',2,140
111,'2016-11-03 07:00',2,333
112,'2016-11-03 07:30',2,578
113,'2016-11-03 08:00',2,690
114,'2016-11-03 08:30',2,767
115,'2016-11-03 09:00',2,864
116,'2016-11-03 09:30',2,869
117,'2016-11-03 10:00',2,764
118,'2016-11-03 10:30',2,764
119,'2016-11-03 11:00',2,693
120,'2016-11-03 11:30',2,688
121,'2016-11-03 12:00',2,659
122,'2016-11-03 12:30',2,688
123,'2016-11-03 13:00',2,792
124,'2016-11-03 13:30',2,863
125,'2016-11-03 14:00',2,801
126,'2016-11-03 14:30',2,759
127,'2016-11-03 15:00',2,689
128,'2016-11-03 15:30',2,678
129,'2016-11-03 16:00',2,683
130,'2016-11-03 16:30',2,736
131,'2016-11-03 17:00',2,752
132,'2016-11-03 17:30',2,815
133,'2016-11-03 18:00',2,834
134,'2016-11-03 18:30',2,817
135,'2016-11-03 19:00',2,775
136,'2016-11-03 19:30',2,703
137,'2016-11-03 20:00',2,620
138,'2016-11-03 20:30',2,683
139,'2016-11-03 21:00',2,635
140,'2016-11-03 21:30',2,627
141,'2016-11-03 22:00',2,574
142,'2016-11-03 22:30',2,488
143,'2016-11-03 23:00',2,388
144,'2016-11-03 23:30',2,282
145,'2016-11-04 00:00',2,135
146,'2016-11-04 00:30',2,192
147,'2016-11-04 01:00',2,146
148,'2016-11-04 01:30',2,141
149,'2016-11-04 02:00',2,119
150,'2016-11-04 02:30',2,81
151,'2016-11-04 03:00',2,64
152,'2016-11-04 03:30',2,55
153,'2016-11-04 04:00',2,51
154,'2016-11-04 04:30',2,40
155,'2016-11-04 05:00',2,46
156,'2016-11-04 05:30',2,62
157,'2016-11-04 06:00',2,94
158,'2016-11-04 06:30',2,138
159,'2016-11-04 07:00',2,398
160,'2016-11-04 07:30',2,650
161,'2016-11-04 08:00',2,733
162,'2016-11-04 08:30',2,721
163,'2016-11-04 09:00',2,884
164,'2016-11-04 09:30',2,894
165,'2016-11-04 10:00',2,825
166,'2016-11-04 10:30',2,735
167,'2016-11-04 11:00',2,698
168,'2016-11-04 11:30',2,652
169,'2016-11-04 12:00',2,736
170,'2016-11-04 12:30',2,713
171,'2016-11-04 13:00',2,771
172,'2016-11-04 13:30',2,826
173,'2016-11-04 14:00',2,821
174,'2016-11-04 14:30',2,864
175,'2016-11-04 15:00',2,782
176,'2016-11-04 15:30',2,870
177,'2016-11-04 16:00',2,830
178,'2016-11-04 16:30',2,872
179,'2016-11-04 17:00',2,872
180,'2016-11-04 17:30',2,926
181,'2016-11-04 18:00',2,881
182,'2016-11-04 18:30',2,853
183,'2016-11-04 19:00',2,830
184,'2016-11-04 19:30',2,797
185,'2016-11-04 20:00',2,775
