time,region,flow_data
2016-11-01 00:00',2,143
'2016-11-01 00:30',2,314
'2016-11-01 01:00',2,193
'2016-11-01 01:30',2,141
'2016-11-01 02:00',2,130
'2016-11-01 02:30',2,100
'2016-11-01 03:00',2,74
'2016-11-01 03:30',2,61
'2016-11-01 04:00',2,63
'2016-11-01 04:30',2,46
'2016-11-01 05:00',2,52
'2016-11-01 05:30',2,58
'2016-11-01 06:00',2,90
'2016-11-01 06:30',2,128
'2016-11-01 07:00',2,312
'2016-11-01 07:30',2,518
'2016-11-01 08:00',2,603
'2016-11-01 08:30',2,680
'2016-11-01 09:00',2,768
'2016-11-01 09:30',2,864
'2016-11-01 10:00',2,841
'2016-11-01 10:30',2,771
'2016-11-01 11:00',2,758
'2016-11-01 11:30',2,704
'2016-11-01 12:00',2,691
'2016-11-01 12:30',2,686
'2016-11-01 13:00',2,726
'2016-11-01 13:30',2,790
'2016-11-01 14:00',2,772
'2016-11-01 14:30',2,776
'2016-11-01 15:00',2,674
'2016-11-01 15:30',2,709
'2016-11-01 16:00',2,732
'2016-11-01 16:30',2,795
'2016-11-01 17:00',2,765
'2016-11-01 17:30',2,878
'2016-11-01 18:00',2,942
'2016-11-01 18:30',2,909
'2016-11-01 19:00',2,813
'2016-11-01 19:30',2,667
'2016-11-01 20:00',2,651
'2016-11-01 20:30',2,691
'2016-11-01 21:00',2,693
'2016-11-01 21:30',2,650
'2016-11-01 22:00',2,659
'2016-11-01 22:30',2,545
'2016-11-01 23:00',2,362
'2016-11-01 23:30',2,290
'2016-11-02 00:00',2,137
'2016-11-02 00:30',2,226
'2016-11-02 01:00',2,148
'2016-11-02 01:30',2,123
'2016-11-02 02:00',2,93
'2016-11-02 02:30',2,77
'2016-11-02 03:00',2,57
'2016-11-02 03:30',2,48
'2016-11-02 04:00',2,39
'2016-11-02 04:30',2,41
'2016-11-02 05:00',2,41
'2016-11-02 05:30',2,43
'2016-11-02 06:00',2,70
'2016-11-02 06:30',2,135
'2016-11-02 07:00',2,334
'2016-11-02 07:30',2,588
'2016-11-02 08:00',2,581
'2016-11-02 08:30',2,655
'2016-11-02 09:00',2,825
'2016-11-02 09:30',2,805
'2016-11-02 10:00',2,782
'2016-11-02 10:30',2,751
'2016-11-02 11:00',2,716
'2016-11-02 11:30',2,713
'2016-11-02 12:00',2,687
'2016-11-02 12:30',2,678
'2016-11-02 13:00',2,744
'2016-11-02 13:30',2,803
'2016-11-02 14:00',2,816
'2016-11-02 14:30',2,837
'2016-11-02 15:00',2,765
'2016-11-02 15:30',2,698
'2016-11-02 16:00',2,722
'2016-11-02 16:30',2,723
'2016-11-02 17:00',2,739
'2016-11-02 17:30',2,840
